t,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40
21,-0.859018493,0.244914188,1.186365007,0.224080431,-0.691032028,-1.004979361,-0.034081998,-1.453304355,-1.60401761,0.398958913,-1.078143333,-1.847006778,-0.752833877,0.880139821,1.402734543,-1.34165594,0.483117441,0.042724569,2.629203572,-0.159500038,-0.746532266,-0.477246681,-1.599876545,0.18952383,0.128992887,0.371192514,-0.522388076,0.394091325,0.924954054,0.753925255,0.218985889,-0.109286479,-0.291080093,1.104080117,1.023199362,0.70924145,-0.158761008,0.385324481,0.694107185,-0.431045083
22,0.138649119,-0.056107647,-0.316068699,0.941264748,0.502007015,-1.154418397,1.313641257,-1.23863277,0.164495693,-0.535821677,-0.691774778,0.087137341,1.899666839,2.04043651,-0.011704765,-0.056876457,-0.838933393,0.291896593,-0.533205617,1.019034535,0.785894099,-0.404572481,-0.595176374,-0.458171441,0.744276284,-0.415695851,1.154785255,0.530388798,0.666023662,1.680273681,0.896835646,-0.16955881,-0.347163685,-0.510675194,0.852507318,0.547140836,0.423581071,-0.513774422,0.855180296,0.24463156
23,-0.300789941,0.851504001,0.926774831,-1.186059323,0.263594652,0.243353974,-1.709528677,1.088275137,0.628727807,0.271687653,-0.14268856,-0.531439523,0.942252538,0.509852825,-0.355887449,1.595438305,-0.068153923,1.361931607,-0.747446341,1.027375054,0.328954881,0.334790857,0.517459515,-0.773835116,-0.132515876,-1.526449892,0.22468846,-0.77945073,-0.965790038,-1.798633475,-1.133758733,-0.462501079,0.658326596,0.792726261,0.56135308,1.234697874,2.069796046,-1.115957093,-0.639800526,0.823147957
24,-1.00019223,0.010745839,1.278536136,-0.764915909,0.898990206,1.516523102,1.119125608,-1.955371567,-0.834445972,0.165038737,1.017448502,-1.587799109,-1.814202248,0.597844369,-0.323077586,1.042801547,-0.879242945,-0.888616802,-0.64144806,-0.372219739,-0.314935624,0.53333084,0.147875434,-0.241645334,1.056439904,-0.143957214,-0.056132965,0.54825059,-0.133247141,-0.221686583,-0.732873324,1.315275372,-2.801371259,1.630069617,-1.783674947,1.479343296,0.388686897,-0.247987602,0.659965919,0.573247328
25,-0.645996912,-0.727889498,-0.359746906,0.81994322,-0.061089218,-0.491433397,-1.305029889,-1.942852059,-0.463849,-0.860856425,1.824115679,-0.590558314,-0.625791324,-1.545116592,0.85486129,-2.003682511,-0.400638886,0.296888922,0.754931521,1.607854551,1.305706708,-1.062886559,1.125391875,-1.414556311,2.312438504,-2.617412756,-1.272410621,-0.339784519,1.084793118,2.008496641,-1.394059338,-0.641467909,1.052564637,-0.188023332,0.746338413,2.825023473,1.358872994,0.820895785,0.561337921,0.014510064
26,0.842832976,1.047764014,-0.864750554,0.11878601,1.174697028,1.88278519,1.12150483,-1.014272963,1.625008555,-0.766082406,-2.058653035,-1.019011375,-0.759316568,-0.198587073,-1.609135369,-0.131718291,0.857869068,-1.071989603,0.61689683,-0.308478025,-0.811550883,1.462687161,-1.488536802,0.768142281,0.241962668,0.741139897,-0.640769821,-0.979052499,-0.963915543,-1.755199241,0.054799941,0.830828775,1.698219339,1.73221818,-1.508678994,-1.605257405,0.19456367,-0.080429725,-0.212444003,-0.882178294
27,0.968334694,2.537091063,0.721747079,-0.152562727,-0.329113493,1.992710865,-1.177915488,-2.009519541,0.919058746,-0.72971862,-1.432329982,-0.452727875,0.150952246,-0.990555676,-1.286609164,0.521746923,-1.183675949,-0.614563388,0.03485229,0.023195563,0.484977536,-1.215630553,1.636365624,1.463916379,-1.588521246,-0.171799865,2.596763475,1.059238068,0.823700898,-0.758541191,0.673330124,-0.954709792,-1.594295808,-0.616964281,2.052609239,-0.964707604,0.613853026,0.396758212,-0.672159692,-0.317466466
28,1.754413017,-1.099693297,-0.936359082,-0.760593736,1.971731748,0.601679546,0.55972441,-0.860494117,-1.042460707,-0.795273892,1.435566365,-1.702803289,0.133119543,0.961732501,0.617636405,2.197773036,-1.225884688,0.581856824,0.30932701,0.090943955,0.725152612,1.62345314,0.162259434,0.439058232,-0.506329204,0.150352012,0.719308285,-0.597319026,1.543053929,1.923247898,0.746431999,0.676222619,-0.409395086,-0.13122237,-1.108846423,-3.40815124,1.324278551,-2.151828455,0.392592026,-0.81843721
29,1.083638945,-0.075519146,-0.110649479,-1.39549641,-0.413803623,2.008882591,1.432226999,0.110279814,0.694806783,1.178962292,0.566788091,-0.778859894,0.965522258,1.149249697,-0.152275507,-1.098058374,-1.497142492,-0.284014431,-1.120980115,1.097959413,1.473026268,-0.530329712,-0.500467043,0.046126642,-0.296914467,-0.799236524,-1.30862285,-1.211054893,1.35146735,-0.143128736,-1.431103886,-1.125629914,-0.7611515,1.182771261,0.041385806,0.031624674,1.701414256,-0.760101191,0.826269175,0.86677913
30,-1.494661844,-0.107370534,0.343091363,-1.363749581,2.13717305,-1.235571969,-3.913359897,-0.019903305,0.662738169,1.480824057,0.534500217,-0.489685036,-0.113487015,1.393362595,0.823930459,0.380009461,-0.561302816,-2.781169256,-0.85247372,-1.063287658,0.720661588,-1.463774596,-0.040078012,-0.384096659,0.237282261,1.184130953,0.338657288,1.720190905,0.867416908,-0.601343809,0.020518057,0.257348309,0.369175899,-1.283747046,-0.559632897,-0.552855039,-0.019151708,-2.359588624,1.379173144,1.273146482
31,-1.108438813,0.042964391,-1.376649746,-1.990537601,-0.884493225,-1.102373996,0.125427002,0.655419019,-1.202862253,-0.226005669,-0.443770404,-2.983825817,-0.953263564,-0.447753456,0.029028507,0.153538189,0.050199484,-0.933290482,0.512845756,-0.108881231,0.651626885,0.492483243,0.309403819,-0.168963508,0.198401295,0.694472075,-0.873457621,1.682226155,0.01319709,1.925249377,-0.990525493,-1.096373181,0.457464952,0.31579538,0.368576299,0.741659993,-0.185022889,-1.551558824,1.805813076,-0.232414882
32,1.043756454,1.47828357,-0.043294723,0.7665264,0.020174753,-1.173689499,-0.451778082,0.422943355,-1.369945174,-0.632111769,1.47049938,-0.080003208,-0.19372394,1.055702016,-0.803674182,1.545920682,0.6518567,0.851164324,-0.951270219,0.226166929,0.99261965,-0.202087106,1.43962337,-0.217281955,-0.368047667,-0.445412132,0.974161457,0.935169266,-0.052339747,-1.897129711,0.318519845,-0.977892352,0.851298201,0.676516275,0.433063578,1.851725251,-2.165644527,-1.073510606,-0.014524376,-1.208262908
33,1.884783968,0.626958691,-1.748171989,-0.559002017,0.640534642,0.498902545,1.689557603,1.191105308,2.581232128,0.996507196,2.373297228,0.198969405,-0.64483837,-0.950054771,0.323401903,1.014901102,0.692657487,-0.909512818,0.894352656,-0.115402723,0.277832353,1.969854096,-2.90386224,0.278248712,1.300663734,0.634965017,0.920220996,-0.108695455,-0.358767386,0.94086356,1.358176745,-0.647671796,-0.041361531,1.03831185,0.435712738,0.270184022,0.697199621,1.343977189,-0.101585732,-1.615292703
34,0.951820423,0.216454148,0.205622403,1.026338302,-0.173618888,-1.366082568,-0.520559287,1.008676897,0.439715209,-0.38051723,1.405966175,-1.527477909,0.037384921,2.797785124,-0.555759778,0.15446354,2.972648802,-0.189777276,0.683806828,0.329751547,-1.173534393,-0.66858904,1.764020051,0.741126299,2.176285555,0.002294856,-1.343866791,0.088080062,-1.067175216,-0.514740271,2.540322609,0.727776412,-0.147629618,0.094539823,0.240895834,1.661183387,-2.030323398,-0.072751054,1.980540918,-1.507565496
35,0.393107846,-1.802286628,0.035612181,-0.216241287,0.197314008,-0.445876777,0.729408824,-0.906051277,-0.596950304,-0.789995772,1.142813781,0.43487043,0.136769399,-1.452367576,-0.511556891,-1.113867893,1.314516841,0.324000397,-1.255600162,-1.134291932,0.10732527,-2.441241107,0.017341414,0.751538187,2.385453575,-1.235527838,-0.582259999,-0.585074792,-0.151260052,-0.454675401,2.031763389,-2.739726259,0.970734521,-0.8647111,-0.770580571,-0.285279185,0.644144147,1.056856044,0.290929463,0.954830762
36,0.553226654,0.935085475,-0.792864331,-0.537230542,-0.154466501,-0.161582677,0.544620371,0.805319775,-0.09327598,-0.458065206,0.893696795,-1.506599377,-0.988223958,1.803180143,1.080388497,-0.28400446,0.707821425,1.0050185,-0.42596473,-1.529745662,-0.206273997,1.718282101,-0.363583378,-1.628644636,1.954986842,-0.266885914,1.049333631,-0.248962299,0.701574061,2.240420262,0.450674164,1.157694479,-0.629354981,0.263747869,-0.00335438,-0.84239144,-1.199613618,0.243255642,-1.475235648,2.839081136
37,1.880354619,0.708051578,-1.124136792,0.339743868,-0.829964107,-2.424063008,-1.878801426,0.858827698,-0.494798373,0.373197732,1.338624576,-1.182697171,0.651413495,-0.459602774,-0.216123996,0.309850752,0.744712966,-3.106786314,-0.233862168,0.983545372,-0.752802928,-0.337315578,-1.051437248,0.24975665,2.146171079,-0.234466177,-1.525176543,-0.045445847,0.613647245,-1.254922255,-1.341665615,-0.277977386,1.237791863,-0.567651768,0.545950851,-1.414198258,-1.279258375,-0.027835605,-0.86472445,1.104004658
38,1.231995316,-0.452446951,-1.856611577,-1.717335284,0.917677317,-1.192512543,1.987111033,-1.644494195,0.929161905,1.005633629,-0.150818395,-0.771876614,0.233313799,0.449677491,0.43563092,-1.539073143,-0.95608855,1.614959179,-0.513171258,-0.075566065,0.100418481,-0.407062763,1.211136026,1.942915643,1.511816722,-1.644232244,-0.705373641,0.522349612,1.242662071,0.284892855,-1.794938783,0.800531622,0.069803353,-0.754131137,-0.455718612,-3.252427368,-0.573156234,0.398807765,0.313352847,-1.008662618
39,-0.591250198,-1.571158738,0.867835981,-1.402865967,-0.480593339,-0.472405051,-1.90673665,-0.452071161,-0.293472646,-0.466545614,1.141795009,-2.698381843,2.191771668,0.457853367,0.095244745,-1.602028868,0.869503407,-1.909477999,0.578658976,0.288628908,0.6603343,0.178674363,-2.1838642,-1.828000993,0.758818912,0.095988361,1.211477127,0.922659323,0.329374282,0.128407678,-1.458017967,0.613908433,0.5020033,0.524405463,-0.316273521,-2.951110454,0.187849864,-0.990361135,2.534165202,-0.295142199
40,-2.814456046,-1.769561633,-1.3563628,1.252958438,0.101670652,0.242475461,2.394990424,0.772931603,-0.837317841,-0.094305075,1.627126645,0.315657517,0.301439768,0.744441056,1.3121147,0.585197055,-0.191914238,-1.653199207,-0.237381365,-0.597997119,0.682227871,-0.622206429,1.449774999,-0.084145974,-0.313321758,-0.140099483,0.602249262,-1.188590392,-0.807332042,-0.209519789,1.03754751,-0.657935617,-0.676894842,1.124153459,0.070920152,-1.173020386,-0.6424216,1.694546974,1.505751935,-0.511854513
41,-1.33589951,-1.571574506,0.163835052,-0.406692742,1.518519394,-0.673607187,-0.769432473,-2.272021402,-0.069810081,1.181030079,-0.528046092,-1.340327244,-2.268362625,-0.98406098,-0.302248895,0.904138503,-1.330189368,0.688417054,-0.998909925,0.019296602,-0.921104017,-0.289324055,-0.213464486,-0.829644245,0.710781537,-0.362724428,-2.243951657,-1.360300502,0.650560538,0.95890749,1.275264613,-0.079693396,-0.615720839,-0.43602211,0.111972046,-1.986389867,-0.085917018,-1.381468698,-0.974805761,0.615998228
42,0.407000384,0.857325085,0.332637335,-0.313633192,-1.060068661,0.258833278,1.288304198,-2.103753835,1.360913036,0.283628119,-0.12770379,-1.892779429,0.678522246,-0.016206546,-2.301707445,-0.164665297,-1.197695335,-1.658445275,-0.437187193,-1.001622354,0.555920357,0.829374164,-1.133442282,0.273482766,0.871111472,0.885359178,-1.155299825,0.199397925,-1.145899436,-0.73526811,3.67784793,1.719582683,0.681837302,0.546469675,-0.667625894,-2.386541327,-1.294645143,0.458975971,-1.520255298,-0.95685097
43,-0.058665598,0.000400142,-1.804661457,1.044699757,1.042791333,-0.544180452,-0.67082786,1.213461726,-0.089307575,-1.412727947,-0.65859678,1.669290786,0.957187935,-1.958332692,1.015326831,0.363631249,-0.400070256,-0.659124667,1.022984323,-0.954183739,0.531598742,-0.603940626,1.528973206,0.392336897,1.493693723,-0.682159937,-1.215702946,1.235986006,-0.921474167,0.110714538,1.779230532,0.468770687,0.736841057,-0.227155375,0.771149514,-2.551374734,-0.818008442,-1.959924961,1.522457524,-0.25015095
44,-0.750240516,-1.178781309,2.170332149,0.065093101,-0.925977573,-0.751664438,3.75E-01,0.153973641,-1.469264416,-0.098541271,-0.064387424,-1.159428976,-0.97356387,-1.0628409,-1.725550539,1.092825205,0.186860893,-0.130235357,-0.205892037,0.545324797,-0.066226094,0.377967274,0.05939196,-1.787291644,-1.342045992,-0.077419349,1.070309339,0.025002614,-0.079487756,0.781551934,0.178652439,0.271841508,-0.029638974,0.606838381,-1.108295893,-1.719456531,0.028907514,0.772575869,0.210291373,-0.777279218
45,-0.873797825,0.67215098,-0.384149138,-0.689754564,-1.586240607,0.05965629,0.554453484,-3.176350452,-0.15819274,0.814869323,0.523242293,-0.084049948,0.486199577,-0.822246043,-1.1952978,1.794179502,0.587611547,0.390283071,0.198371465,0.106682856,-1.130974669,-0.049395396,-1.185182872,-0.369764255,-0.257508461,-0.271771445,-0.018507904,-0.922399411,1.38680566,-0.802158686,-1.779523359,-0.295184648,-0.497698249,-2.089205356,1.681111589,-0.457198566,-0.438225222,0.394524472,-2.102134507,-0.897043255
46,-1.283932859,-1.477219708,2.2054792,-1.134785091,-0.681965368,-1.466735295,-1.129450394,-1.575764959,1.123611287,0.350745673,0.669405733,0.22473714,1.427168857,1.963312905,0.144856288,-1.878306643,-0.445729207,-0.334242851,0.773876354,0.743760543,-0.291457516,0.368738415,1.980352495,0.034884572,0.7533703,-0.148060102,-0.276054039,-2.379849294,0.611376819,1.360322308,-2.097327137,0.071167888,1.200425089,0.682633404,-1.22163121,0.588847373,-0.976348644,2.237611911,-1.946373465,-0.753638037
47,-1.312467153,1.147736103,0.870045557,-1.139686285,-0.858761627,-0.033263107,0.540256714,0.469109849,-1.377262485,0.845770241,0.621822453,-1.24528375,-0.749697535,-0.878707799,-1.610864298,-0.172307745,0.893161993,-0.538037953,0.457212199,-0.321207358,0.709446156,1.333614943,0.215145802,0.819317789,-1.213089909,1.849852012,-0.162347722,0.912252048,0.544892857,-1.284087679,0.128538098,0.081420564,0.607413402,-0.154568324,2.419885172,-0.558453847,-1.399204203,0.419924099,-0.531874832,1.087027866
48,-2.029788386,0.250778527,-0.113795622,0.520415267,1.75026891,-0.638668485,-0.628358262,-1.357232048,1.080775276,0.5667849,2.240769718,0.921162688,-0.647731434,2.13960517,2.030363913,0.180253549,0.401545576,0.495781966,-0.688713151,0.657950061,0.018612693,-1.606808104,-0.684674034,0.902247713,0.473754431,-0.833703941,-0.361306702,-0.499506611,-0.923474866,0.644886542,1.602290842,0.520227273,0.028260898,2.424261514,-1.710677051,-0.985256681,-0.563400891,0.738614812,-1.235768589,-0.155810869
49,0.249258466,1.496295761,1.175215046,-1.352175784,-1.58816411,-0.938967518,-1.336015371,0.602433626,0.718577717,-1.442938241,0.217486651,2.422698551,-0.676894944,-0.179190075,0.163913859,0.440593818,2.729096888,-0.159903438,0.48947237,0.864394427,0.576884428,0.478676327,-1.41220615,-1.217191681,-0.58985543,-0.738929058,-0.594743518,0.215191834,0.502853152,0.512217394,0.426250631,1.297396463,0.573172414,1.436497678,2.160528778,-0.867213746,0.418688619,-0.785141868,-2.302950845,-1.540516191
50,1.739679444,-1.263566669,0.755971504,-1.798579014,0.482673678,-1.255066001,0.009381756,1.213692062,-0.647814243,-0.265693908,-1.3747766,-0.285974181,-0.3568928,1.120353292,-1.45430333,0.872173236,1.174095087,-0.984305571,0.43739059,-0.156004833,-0.54472182,0.19513788,0.153967767,0.157308087,0.174916127,0.461651489,-0.363568606,1.648230994,0.137335305,-1.631835677,1.334764046,1.046749359,0.393622268,1.671240664,-2.396012095,-1.112307516,-0.897025182,1.359202272,-1.789325223,-1.442458249
51,1.322201768,-0.209846447,0.774783905,-2.07309517,-0.422961895,-2.072614441,-0.786080353,0.091549701,0.079103168,0.361052996,-3.528539524,0.015541523,0.418500117,0.207313704,0.652921277,0.477823759,0.237367633,0.687551992,-1.083416363,1.100110438,-0.238344071,-0.02626633,-1.235426217,1.873315691,-0.548207242,1.155412998,1.523451044,-1.332392686,0.331546594,1.318016137,-0.488648708,-1.858588539,-0.808441793,-1.650743866,0.055945432,-0.043063787,-0.756516811,1.736414892,0.650363594,0.205713454
52,0.831739122,-1.446636206,-0.008072109,-1.880756875,1.456903289,0.608997358,-2.549572285,-0.465956814,0.7109931,0.080124146,-0.048632665,1.032366517,-1.498423764,-0.081124362,-0.920699695,-0.235754929,-0.967851007,2.301810522,0.850109558,-0.814721637,-0.046269932,-1.790835431,1.061977834,0.019190842,0.373931321,-0.738787205,-1.185618262,-0.842275916,0.751098069,-0.023528174,-0.541995027,1.046455453,-0.608330884,1.420127046,0.547987232,-1.196155284,2.380405081,0.458815486,-1.408252206,0.126976268
